Event Count,location,Event duration
173,"{'latitude': 19.597495, 'longitude': 83.881165}",838.111
174,"{'latitude': 19.142201666666665, 'longitude': 82.31936666666667}",389.112
175,"{'latitude': 20.5992213, 'longitude': 86.8168291}",308.498
176,"{'latitude': 20.4517102, 'longitude': 83.5139656}",359.5
177,"{'latitude': 18.880696666666665, 'longitude': 82.562125}",365.556
178,"{'latitude': 19.4428121, 'longitude': 83.6016726}",347.889
179,"{'latitude': 20.989069100000002, 'longitude': 85.9883717}",461
180,"{'latitude': 21.2672386, 'longitude': 83.5501336}",538.5
181,"{'latitude': 21.8711, 'longitude': 83.9863324}",343.998
182,"{'latitude': 20.899238, 'longitude': 85.4061454}",544.664
183,"{'latitude': 17.984923333333334, 'longitude': 81.58056333333333}",762.666
184,"{'latitude': 21.51481666666667, 'longitude': 86.53555}",380.415
185,"{'latitude': 21.7925417, 'longitude': 85.8963722}",646.664
186,"{'latitude': 18.7268952, 'longitude': 82.2111469}",426.555
187,"{'latitude': 20.7065984, 'longitude': 86.1109602}",938.415
188,"{'latitude': 22.3048847, 'longitude': 86.1856974}",372.75
189,"{'latitude': 21.5407005, 'longitude': 86.2186401}",451
190,"{'latitude': 22.0636449, 'longitude': 86.6493346}",596.917
191,"{'latitude': 20.693517, 'longitude': 84.0067361}",470.417
192,"{'latitude': 22.2916651, 'longitude': 84.1056838}",421
193,"{'latitude': 21.923805, 'longitude': 86.71677666666666}",369
194,"{'latitude': 19.0905959, 'longitude': 84.3242397}",302.667
195,"{'latitude': 22.2057181, 'longitude': 86.1315718}",336.253
196,"{'latitude': 19.482015, 'longitude': 82.80646833333333}",548.334
197,"{'latitude': 19.658941666666667, 'longitude': 82.13051333333334}",373.333
198,"{'latitude': 21.6586172, 'longitude': 86.4983095}",701
199,"{'latitude': 19.3122045, 'longitude': 84.8024315}",2126.032
200,"{'latitude': 20.6665162, 'longitude': 83.3202428}",358.5
201,"{'latitude': 21.923725, 'longitude': 86.716485}",400.245
202,"{'latitude': 19.384708333333332, 'longitude': 82.98647}",483.555
203,"{'latitude': 20.7691481, 'longitude': 86.1529767}",310.328
204,"{'latitude': 20.8077095, 'longitude': 82.5357871}",356.337
205,"{'latitude': 19.1803239, 'longitude': 83.0934384}",324.333
206,"{'latitude': 18.554221666666667, 'longitude': 82.20747}",422.556
207,"{'latitude': 20.8813841, 'longitude': 85.4300322}",340
208,"{'latitude': 21.4048097, 'longitude': 83.9881745}",325.167
209,"{'latitude': 19.0501394, 'longitude': 84.1485919}",373.445
210,"{'latitude': 20.6985815, 'longitude': 84.1325703}",360.5
